threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,route,train_time_sec,inference_time_sec,latency_ms_per_sample,ram_delta_mb,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_raw,train_rows_used,val_rows,test_rows,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold
0.3985581915657159,0.8754,0.8845490419265045,0.7893345085940943,0.925103305785124,0.8518430439952438,0.7524899227710664,0.9645312870875861,0.9565321103813823,2586,478,145,1791,HGB,25000,grouped_temporal,5.68396340000254,0.01737940000020899,0.003475880000041798,6.9921875,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,
0.47338587045669556,0.8748,0.8860561465593509,0.7830596369922213,0.9359504132231405,0.8527058823529412,0.7542978026707525,0.966807706260924,0.9590170201636058,2562,502,124,1812,XGB,25000,grouped_temporal,0.5096010999986902,0.004687399999966146,0.0009374799999932292,0.0,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,
0.2703297114932627,0.867,0.8797869958785578,0.7698513800424629,0.9364669421487604,0.8450244698205547,0.7412400025500396,0.9658422489642449,0.9584112461338936,2522,542,123,1813,LGBM,25000,grouped_temporal,2.181386600001133,0.003835700001218356,0.0007671400002436712,14.890625,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,,,,
0.47408132031139044,0.856,0.8720478281509614,0.7495894909688013,0.9431818181818182,0.8353156450137237,0.7251505386227599,0.963439394838487,0.9503564531345301,2454,610,110,1826,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,8.50767310000083,3.239999932702631e-05,6.479999865405262e-06,18.58203125,0.31594285714285714,0.5,0.3472,0.3872,17500,11058,2500,5000,0.6527400976668475,0.6132,0.5220721987362844,0.4568000014651893
0.2632828728242154,0.7214,0.765383213664343,0.5841678588459704,0.9557867360208062,0.7251381215469613,0.5345365249956697,0.921193696858042,0.8822787364464033,3539,2616,170,3675,LR,50000,grouped_temporal,0.16854410000087228,0.00097989999994752,9.7989999994752e-05,0.0,0.3173142857142857,0.5,0.343,0.3845,35000,22212,5000,10000,,,,
0.3768221839279878,0.8867,0.8951254913435851,0.8045822102425876,0.9315994798439532,0.8634446185368205,0.7735376223771424,0.939224435080321,0.8793824281190492,5285,870,263,3582,RF,50000,grouped_temporal,1.5650668000016594,0.09159749999889755,0.009159749999889754,44.3125,0.3173142857142857,0.5,0.343,0.3845,35000,22212,5000,10000,,,,
0.2469632701902174,0.8744,0.8864513293874434,0.779650032404407,0.9386215864759427,0.8517819211706396,0.7540772444012812,0.972369171352543,0.9647429356123007,5135,1020,236,3609,HGB,50000,grouped_temporal,3.4783648000011453,0.03418289999899571,0.003418289999899571,8.21875,0.3173142857142857,0.5,0.343,0.3845,35000,22212,5000,10000,,,,
0.42691871523857117,0.876,0.8882879323585866,0.7810140237324703,0.94148244473342,0.8537735849056604,0.7575937047871626,0.9707000662343301,0.9632125203728396,5140,1015,225,3620,XGB,50000,grouped_temporal,0.5488470000018424,0.0022248999994189944,0.00022248999994189944,17.84765625,0.3173142857142857,0.5,0.343,0.3845,35000,22212,5000,10000,,,,
0.20525739426141637,0.8695,0.883544519082776,0.7689538331215586,0.9443433029908973,0.847671296836699,0.7474984441215551,0.9714298058710871,0.9641492056898929,5064,1091,214,3631,LGBM,50000,grouped_temporal,2.368410099999892,0.006585600000107661,0.0006585600000107661,14.921875,0.3173142857142857,0.5,0.343,0.3845,35000,22212,5000,10000,,,,
0.37713760563936527,0.8402,0.8625733780247804,0.7189631650750341,0.9594278283485046,0.821969696969697,0.7057765339397387,0.9692024309161147,0.9583572044935273,4713,1442,156,3689,HQD-Net-v6,50000,grouped_temporal_hard_quantum_inspired,11.060862400001497,2.979999771923758e-05,2.979999771923758e-06,85.5703125,0.3173142857142857,0.5,0.343,0.3845,35000,22212,5000,10000,0.6522600396182244,0.5897,0.5208262926683626,0.467694930114335
0.28796387551311137,0.73985,0.7781764939543834,0.6043729372937293,0.947239105133842,0.7379237394852164,0.5544714561493349,0.9194118785384185,0.8788670864531547,7472,4795,408,7325,LR,100000,grouped_temporal,0.29735430000073393,0.002836399999068817,0.00014181999995344086,0.0,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,,,,
0.3570961869145861,0.8933,0.9019060061651868,0.8132482936108314,0.9398680977628346,0.8719856028794241,0.7873454909198487,0.9453719253696085,0.8926010040580223,10598,1669,465,7268,RF,100000,grouped_temporal,2.619523899997148,0.14952110000012908,0.007476055000006454,207.1484375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,,,,
0.2635783785906131,0.8818,0.8932243086392215,0.7910027100271003,0.9436182594077331,0.8605967684868499,0.7682838677985182,0.973710470080706,0.9666754425345905,10339,1928,436,7297,HGB,100000,grouped_temporal,4.893101300000126,0.0735236000000441,0.003676180000002205,3.53125,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,,,,
0.41123953461647034,0.86725,0.8826059241744456,0.763929313929314,0.9503426871847924,0.8470005186423097,0.7458279608064561,0.9728147093478986,0.9666722694579544,9996,2271,384,7349,XGB,100000,grouped_temporal,0.7703758999996353,0.0048370999975304585,0.00024185499987652292,10.65234375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,,,,
0.2328294064459615,0.88455,0.895466095547186,0.7957470010905126,0.9436182594077331,0.8633970301129977,0.77300720760874,0.9748560708131315,0.9682582076345156,10394,1873,436,7297,LGBM,100000,grouped_temporal,2.893776600001729,0.014685999998619081,0.0007342999999309541,14.265625,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,,,,
0.4338316050783675,0.86055,0.8777176728097684,0.7521934299122628,0.9534462692357429,0.8409466780724266,0.7359115781015547,0.970835259710419,0.9600498083820033,9838,2429,360,7373,HQD-Net-v6,100000,grouped_temporal_hard_quantum_inspired,23.896010500000557,2.9299997549969703e-05,1.464999877498485e-06,174.62109375,0.31667142857142855,0.5,0.3433,0.38665,70000,44334,10000,20000,0.6518473406414941,0.5975,0.5217473992460093,0.47352479740560477
