threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,roc_auc,pr_auc,tn,fp,fn,tp,model,sample_size,route,train_time_sec,inference_time_sec,latency_ms_per_sample,ram_delta_mb,train_positive_ratio_raw,train_positive_ratio_used,val_positive_ratio,test_positive_ratio,train_rows_raw,train_rows_used,val_rows,test_rows,quantum_route_train_ratio,quantum_route_test_ratio,tau_threshold,uncertainty_threshold,label_noise,feature_noise
0.3724179545497183,0.8448,0.8544492701115665,0.753931151721207,0.900050735667174,0.820536540240518,0.6940473440398001,0.9208514379600277,0.8758500908877256,2450,579,197,1774,RF,25000,grouped_temporal,0.8981297999998787,0.0607395999977598,0.012147919999551959,65.00390625,0.32565714285714287,0.5,0.358,0.3942,17500,11398,2500,5000,,,,,0.03,0.0
0.41199278831481934,0.814,0.8311549156396002,0.7037181996086106,0.9122272957889396,0.7945205479452054,0.6474694275664074,0.9355013827939926,0.9203027277760868,2272,757,173,1798,XGB,25000,grouped_temporal,0.38831199999913224,0.0014227000028768089,0.00028454000057536176,6.8203125,0.32565714285714287,0.5,0.358,0.3942,17500,11398,2500,5000,,,,,0.03,0.0
0.44729677036673565,0.8016,0.8230470913756234,0.6836772983114446,0.9244038559107052,0.7860224331320104,0.6328440926185943,0.9329828569054861,0.9124612877515744,2186,843,149,1822,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,6.72526149999976,1.5700003132224083e-05,3.1400006264448168e-06,52.78125,0.32565714285714287,0.5,0.358,0.3942,17500,11398,2500,5000,0.6445867696087033,0.627,0.522745069146891,0.517947799311036,0.03,0.0
0.3287568422834156,0.8102,0.8286069541603943,0.6969344198680636,0.9144602851323829,0.7910151948909931,0.642235717113177,0.9164672604912133,0.8702011913999715,2255,781,168,1796,RF,25000,grouped_temporal,1.2731394000002183,0.06061920000138343,0.012123840000276687,49.56640625,0.32594285714285715,0.5,0.3588,0.3928,17500,11408,2500,5000,,,,,0.03,0.01
0.5305846929550171,0.8218,0.8367207226788382,0.7157217531162042,0.9063136456211812,0.7998202651089643,0.6577900939600115,0.9302685493024642,0.912036618964698,2329,707,184,1780,XGB,25000,grouped_temporal,0.506590299999516,0.0015787999982421752,0.00031575999964843503,5.4453125,0.32594285714285715,0.5,0.3588,0.3928,17500,11408,2500,5000,,,,,0.03,0.01
0.45549184143581856,0.781,0.8059105399161186,0.6578278241917908,0.9220977596741344,0.7678609285562857,0.6006775761363969,0.9272769535432246,0.9040770458995967,2094,942,153,1811,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,8.586545099999057,2.600000152597204e-05,5.2000003051944075e-06,57.48046875,0.32594285714285715,0.5,0.3588,0.3928,17500,11408,2500,5000,0.6413920056100981,0.6282,0.5215379579590923,0.5446016899546962,0.03,0.01
0.3183826981062866,0.7916,0.8141309245675719,0.6667943316736883,0.9100888656560376,0.7696728558797524,0.6113008183547748,0.8906548903881867,0.8157245256370518,2217,870,172,1741,RF,25000,grouped_temporal,1.5216999000003852,0.0764091000019107,0.01528182000038214,58.4921875,0.32525714285714286,0.5,0.384,0.3826,17500,11384,2500,5000,,,,,0.03,0.05
0.4812152087688446,0.812,0.8298566184246332,0.695146409947854,0.905906952430737,0.7866545619609623,0.6412726112747323,0.9265088356802408,0.9048959331113946,2327,760,180,1733,XGB,25000,grouped_temporal,0.6740380999981426,0.0017270000025746413,0.00034540000051492826,8.7890625,0.32525714285714286,0.5,0.384,0.3826,17500,11384,2500,5000,,,,,0.03,0.05
0.4037415912959049,0.7598,0.7910615668864813,0.6260623229461756,0.9242028227914271,0.7464640067553304,0.5706618851011906,0.9222546161321671,0.897248026420185,2031,1056,145,1768,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,8.201126100000693,2.9099999665049836e-05,5.819999933009967e-06,54.53515625,0.32525714285714286,0.5,0.384,0.3826,17500,11384,2500,5000,0.6458186929023191,0.6114,0.5219656732165308,0.5638259419774505,0.03,0.05
0.28411565374183473,0.7648,0.7878779278452062,0.6468253968253969,0.9010050251256282,0.753044939101218,0.5670142106252463,0.8789660094492396,0.8111528247246601,2031,979,197,1793,RF,25000,grouped_temporal,1.0048175000010815,0.07825690000026952,0.015651380000053904,103.140625,0.33302857142857145,0.5,0.362,0.398,17500,11656,2500,5000,,,,,0.05,0.0
0.3223917782306671,0.7564,0.7837109133708409,0.6340277777777777,0.9175879396984925,0.7498973305954826,0.5620198429243184,0.9127497120152257,0.8877894084670722,1956,1054,164,1826,XGB,25000,grouped_temporal,0.5272401000001992,0.0016826999999466352,0.00033653999998932703,5.96875,0.33302857142857145,0.5,0.362,0.398,17500,11656,2500,5000,,,,,0.05,0.0
0.22904174341319777,0.7228,0.7586988096629326,0.5969191270860077,0.9346733668341709,0.7285546415981199,0.5226308458578993,0.9085038147548373,0.8790751440752904,1754,1256,130,1860,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,11.325302099998225,4.319999789004214e-05,8.639999578008428e-06,88.4765625,0.33302857142857145,0.5,0.362,0.398,17500,11656,2500,5000,0.6426733013040494,0.627,0.5205805032532023,0.5516630863963224,0.05,0.0
0.3411913617955797,0.787,0.8061086837939591,0.6735927465054778,0.8986895161290323,0.7700280716907796,0.6000731762874687,0.8923640449858817,0.8420889123449181,2152,864,201,1783,RF,25000,grouped_temporal,1.859307099999569,0.1402273999992758,0.028045479999855162,60.3671875,0.3334285714285714,0.5,0.3616,0.3968,17500,11670,2500,5000,,,,,0.05,0.01
0.41181308031082153,0.7732,0.7950146262941731,0.6560205580029369,0.9007056451612904,0.7591333899745115,0.5796560402401013,0.9073280875652434,0.8815248822993502,2079,937,197,1787,XGB,25000,grouped_temporal,0.7324133000001893,0.0022736999999324325,0.00045473999998648653,17.01953125,0.3334285714285714,0.5,0.3616,0.3968,17500,11670,2500,5000,,,,,0.05,0.01
0.3995523127740867,0.7428,0.7727476309146916,0.618546195652174,0.9178427419354839,0.7390422077922078,0.5423717080481167,0.9020519594421151,0.8750028849174469,1893,1123,163,1821,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,10.494476200001372,2.4999997549457476e-05,4.999999509891495e-06,60.76171875,0.3334285714285714,0.5,0.3616,0.3968,17500,11670,2500,5000,0.6478149100257069,0.6354,0.5207796300533418,0.5946715931180079,0.05,0.01
0.37347173981908294,0.7954,0.808216108445295,0.687960687960688,0.865533230293663,0.7665982203969883,0.6009865251349443,0.8771791719740181,0.8080248788781346,2297,762,261,1680,RF,25000,grouped_temporal,1.7784357000018645,0.12319119999665418,0.024638239999330836,53.90625,0.3326857142857143,0.5,0.384,0.3882,17500,11644,2500,5000,,,,,0.05,0.05
0.3900841474533081,0.7574,0.783373914256106,0.6316931982633864,0.8995363214837713,0.7421891604675876,0.5555043345309019,0.9030803943532644,0.8714785492991501,2041,1018,195,1746,XGB,25000,grouped_temporal,0.7664605999998457,0.0022495999983220827,0.0004499199996644165,8.09765625,0.3326857142857143,0.5,0.384,0.3882,17500,11644,2500,5000,,,,,0.05,0.05
0.2922620941020513,0.7242,0.7606657763958313,0.5929232804232805,0.9237506439979392,0.7222557905337361,0.5196753932615221,0.9019976188707775,0.8715286738724806,1828,1231,148,1793,HQD-Net-v6,25000,grouped_temporal_hard_quantum_inspired,16.656623000002583,1.8599999748403206e-05,3.7199999496806415e-06,57.7890625,0.3326857142857143,0.5,0.384,0.3882,17500,11644,2500,5000,0.6527825489522501,0.6238,0.5215565283505365,0.5968859278000915,0.05,0.05
